model,fit_1_s,fit_2_s,fit_3_s,fit_median_s,f1_macro,recall_macro,predict_ms,size_kb,is_pareto
svm_c10,0.23566807699899073,0.24531010699865874,0.2365534979999211,0.2365534979999211,0.7313550420168067,0.7366757000903342,18.336639999688487,97.521484375,True
boost,0.14494164800089493,0.1244146280005225,0.13140671899964218,0.13140671899964218,0.7272522817999513,0.7309168925022584,7.063830000333837,201.705078125,True
logistic,0.22970159800024703,0.14282076800009236,0.042596428998876945,0.14282076800009236,0.7210566037735848,0.7313685636856369,11.886068999956478,4.134765625,False
svm_c1,0.2589555869999458,0.22695833800025866,0.2173356170005718,0.22695833800025866,0.6920636112727887,0.6983965672990063,18.20878000035009,111.677734375,False
rf_100,0.46205435500087333,0.31242140700123855,0.3137419360009517,0.3137419360009517,0.6918090083995716,0.6989611562782294,41.19682999953511,1015.0107421875,False
rf_300,0.8567019799993432,0.834131461000652,0.8407845410001755,0.8407845410001755,0.6782971996386631,0.6867660343270099,81.74342900019838,2976.2763671875,False
