model,fit_1_s,fit_2_s,fit_3_s,fit_median_s,f1_macro,recall_macro,predict_ms,size_kb,is_pareto
svm_c10,0.17563268000048993,0.13733822999893164,0.23574697999902128,0.17563268000048993,0.7313550420168067,0.7366757000903342,7.063830000333837,97.521484375,True
boost,0.6059391600010713,0.4675391700002365,1.0485888580005849,0.6059391600010713,0.7272522817999513,0.7309168925022584,7.063830000333837,201.705078125,False
logistic,0.08363371999985247,0.06643613999949594,0.04129943000043568,0.06643613999949594,0.7210566037735848,0.7313685636856369,7.063830000333837,4.134765625,True
svm_c1,0.17013588000008895,0.14867230900017603,0.23667178899995633,0.17013588000008895,0.6920636112727887,0.6983965672990063,7.063830000333837,111.677734375,False
rf_100,0.4552427799990255,0.6221027609990415,0.8828181899989431,0.6221027609990415,0.6918090083995716,0.6989611562782294,7.063830000333837,1015.0107421875,False
rf_300,1.8381021010009135,2.0122129499995935,1.8813612409994676,1.8813612409994676,0.6782971996386631,0.6867660343270099,7.063830000333837,2976.2763671875,False
